iter	Logloss
0	0.6803415192
1	0.6702633824
2	0.661439238
3	0.6536658221
4	0.6472253652
5	0.6409062668
6	0.6354668178
7	0.630862704
8	0.6259644438
9	0.6220936378
10	0.618471541
11	0.6151236413
12	0.6120405676
13	0.6088422446
14	0.6060991621
15	0.603568746
16	0.601244019
17	0.5994988102
18	0.5974145582
19	0.5951170623
20	0.5934145551
21	0.5914424932
22	0.5900720126
23	0.5883035015
24	0.5868355417
25	0.5855310506
26	0.5842583961
27	0.5828826678
28	0.5818101303
29	0.5806824212
30	0.5795449914
31	0.5785814538
32	0.5773738458
33	0.5764579235
34	0.5754779758
35	0.5745579117
36	0.573542775
37	0.5727056592
38	0.5718473876
39	0.571081872
40	0.5704862961
41	0.5696563257
42	0.5688880209
43	0.5681044732
44	0.5675571782
45	0.5668973187
46	0.5662695666
47	0.5655950652
48	0.5650220115
49	0.5639699601
50	0.5631649671
51	0.5624618999
52	0.5619431404
53	0.5613651908
54	0.5607978994
55	0.5601713325
56	0.5596893626
57	0.5588975465
58	0.5583493581
59	0.5579437712
60	0.5574800766
61	0.5568853662
62	0.5564855888
63	0.5558579323
64	0.5554267461
65	0.5549770115
66	0.5544538349
67	0.5539512
68	0.5535195481
69	0.5529144924
70	0.5525365441
71	0.5520943207
72	0.5516595954
73	0.5511265064
74	0.5504514165
75	0.5499861997
76	0.5495639121
77	0.5492057767
78	0.5487383225
79	0.5483336348
80	0.5478855391
81	0.54749457
82	0.5463553849
83	0.5459902636
84	0.5455241823
85	0.5450957703
86	0.5447633833
87	0.5441138585
88	0.5437703471
89	0.543290292
90	0.5428834407
91	0.542467138
92	0.5420754429
93	0.5417083592
94	0.541215094
95	0.5407498244
96	0.5402965341
97	0.5398369284
98	0.5392974618
99	0.5389879017
100	0.5379811144
101	0.5375711659
102	0.5371387216
103	0.536580443
104	0.5361838525
105	0.535455827
106	0.5351525384
107	0.5345831716
108	0.5340273067
109	0.5336804805
110	0.5332387776
111	0.5328422701
112	0.5324612479
113	0.5320393693
114	0.5317266548
115	0.5314169699
116	0.5309936318
117	0.5306145461
118	0.5302590257
119	0.5298152477
120	0.529425212
121	0.5289038457
122	0.528035756
123	0.5276373803
124	0.5272579368
125	0.5269243557
126	0.5266387307
127	0.5262773461
128	0.5256654496
129	0.5252683888
130	0.5248972488
131	0.5245586753
132	0.5240924098
133	0.5236951142
134	0.5231585149
135	0.5228133636
136	0.5224366421
137	0.5221368925
138	0.5217604085
139	0.5210092229
140	0.5206377928
141	0.5201129776
142	0.5197363854
143	0.5194121009
144	0.5185372651
145	0.5180498388
146	0.5178338969
147	0.5171990822
