iter	Passed	Remaining
0	10	5426
1	22	5603
2	32	5392
3	42	5255
4	54	5370
5	65	5368
6	75	5331
7	86	5337
8	97	5330
9	108	5293
10	118	5284
11	127	5178
12	137	5148
13	146	5097
14	157	5081
15	166	5027
16	175	4979
17	184	4937
18	196	4981
19	207	4986
20	218	4981
21	228	4961
22	238	4943
23	248	4921
24	257	4886
25	267	4874
26	276	4847
27	286	4829
28	294	4777
29	302	4742
30	312	4731
31	321	4699
32	331	4686
33	342	4687
34	351	4668
35	359	4638
36	369	4623
37	378	4597
38	386	4566
39	396	4559
40	405	4538
41	416	4537
42	426	4529
43	435	4510
44	445	4509
45	455	4493
46	464	4477
47	476	4487
48	487	4486
49	498	4482
50	509	4488
51	521	4489
52	531	4484
53	543	4487
54	553	4480
55	565	4483
56	577	4486
57	588	4484
58	601	4497
59	616	4519
60	627	4519
61	639	4519
62	650	4512
63	663	4517
64	673	4508
65	685	4508
66	695	4493
67	705	4483
68	715	4470
69	726	4463
70	737	4454
71	746	4439
72	756	4427
73	766	4413
74	776	4400
75	787	4390
76	797	4383
77	807	4369
78	817	4353
79	825	4334
80	836	4326
81	847	4318
82	857	4308
83	866	4292
84	876	4280
85	886	4269
86	900	4273
87	912	4273
88	925	4273
89	938	4275
90	951	4277
91	963	4272
92	975	4268
93	987	4267
94	1000	4265
95	1012	4262
96	1022	4248
97	1034	4242
98	1045	4236
99	1057	4231
100	1069	4224
101	1079	4213
102	1090	4204
103	1102	4198
104	1113	4189
105	1124	4178
106	1133	4163
107	1143	4151
108	1153	4137
109	1164	4128
110	1175	4121
111	1185	4107
112	1197	4099
113	1209	4094
114	1220	4086
115	1231	4076
116	1241	4063
117	1251	4050
118	1260	4036
119	1270	4021
120	1281	4012
121	1291	4001
122	1302	3992
123	1312	3980
124	1321	3965
125	1331	3951
126	1340	3937
127	1349	3923
128	1359	3909
129	1369	3896
130	1379	3886
131	1391	3880
132	1402	3870
133	1413	3859
134	1422	3847
135	1432	3833
136	1442	3823
137	1454	3815
138	1466	3807
139	1478	3800
140	1489	3791
141	1500	3781
142	1509	3768
143	1519	3755
144	1529	3744
145	1539	3733
146	1550	3723
147	1562	3716
148	1573	3706
149	1583	3695
150	1593	3682
151	1602	3669
152	1613	3659
153	1622	3644
154	1631	3632
155	1641	3619
156	1651	3607
157	1660	3594
158	1669	3581
159	1680	3571
160	1693	3565
161	1702	3552
162	1713	3542
163	1721	3526
164	1728	3510
165	1738	3497
166	1746	3483
167	1757	3472
168	1768	3462
169	1777	3451
170	1787	3440
171	1797	3427
172	1807	3416
173	1817	3404
174	1827	3393
175	1835	3379
176	1845	3367
177	1855	3355
178	1864	3343
179	1875	3334
180	1888	3327
181	1899	3318
182	1908	3306
183	1918	3293
184	1929	3285
185	1942	3279
186	1953	3269
187	1963	3258
188	1973	3248
189	1982	3235
190	1992	3224
191	2001	3211
192	2010	3197
193	2019	3186
194	2030	3175
195	2040	3165
196	2050	3154
197	2060	3143
198	2069	3130
199	2079	3119
200	2089	3108
201	2100	3098
202	2109	3085
203	2118	3074
204	2129	3064
205	2140	3054
206	2150	3043
207	2160	3033
208	2172	3024
209	2184	3016
210	2194	3006
211	2204	2994
212	2213	2982
213	2221	2968
214	2230	2956
215	2241	2947
216	2252	2938
217	2264	2929
218	2276	2921
219	2290	2915
220	2299	2903
221	2309	2891
222	2318	2880
223	2328	2868
224	2341	2862
225	2353	2853
226	2366	2845
227	2377	2836
228	2388	2826
229	2397	2814
230	2408	2805
231	2418	2793
232	2428	2783
233	2439	2773
234	2449	2762
235	2459	2751
236	2470	2741
237	2479	2730
238	2489	2718
239	2499	2707
240	2510	2697
241	2522	2688
242	2532	2678
243	2542	2667
244	2552	2656
245	2562	2645
246	2572	2634
247	2583	2625
248	2592	2613
249	2605	2605
250	2615	2594
251	2625	2583
252	2635	2572
253	2644	2561
254	2656	2551
255	2666	2541
256	2677	2531
257	2687	2520
258	2697	2510
259	2707	2499
260	2719	2490
261	2728	2478
262	2739	2468
263	2749	2458
264	2760	2448
265	2770	2437
266	2782	2427
267	2791	2416
268	2800	2404
269	2810	2394
270	2820	2383
271	2830	2372
272	2839	2360
273	2849	2350
274	2858	2339
275	2868	2328
276	2877	2316
277	2886	2305
278	2895	2293
279	2904	2282
280	2914	2271
281	2923	2260
282	2934	2249
283	2944	2239
284	2953	2228
285	2963	2217
286	2974	2207
287	2985	2197
288	2995	2187
289	3007	2177
290	3017	2167
291	3026	2156
292	3036	2145
293	3046	2134
294	3056	2124
295	3066	2113
296	3075	2102
297	3085	2091
298	3097	2082
299	3108	2072
300	3118	2061
301	3130	2052
302	3140	2041
303	3150	2031
304	3160	2020
305	3172	2011
306	3183	2001
307	3193	1991
308	3203	1980
309	3214	1970
310	3224	1959
311	3234	1949
312	3244	1938
313	3254	1927
314	3264	1916
315	3274	1906
316	3283	1895
317	3292	1884
318	3302	1873
319	3311	1862
320	3320	1851
321	3329	1840
322	3338	1829
323	3348	1818
324	3359	1808
325	3368	1798
326	3391	1794
327	3401	1783
328	3411	1773
329	3422	1762
330	3431	1751
331	3443	1742
332	3456	1733
333	3468	1723
334	3480	1714
335	3492	1704
336	3502	1693
337	3516	1685
338	3528	1675
339	3539	1665
340	3549	1655
341	3559	1644
342	3568	1633
343	3576	1621
344	3584	1610
345	3594	1599
346	3605	1589
347	3615	1579
348	3625	1568
349	3636	1558
350	3645	1547
351	3656	1537
352	3668	1527
353	3679	1517
354	3690	1507
355	3702	1497
356	3711	1486
357	3720	1475
358	3732	1466
359	3743	1455
360	3755	1445
361	3767	1436
362	3777	1425
363	3787	1415
364	3796	1404
365	3806	1393
366	3818	1383
367	3828	1373
368	3838	1362
369	3848	1352
370	3858	1341
371	3868	1331
372	3879	1320
373	3889	1310
374	3901	1300
375	3912	1290
376	3921	1279
377	3934	1269
378	3946	1259
379	3955	1249
380	3966	1238
381	3977	1228
382	3987	1218
383	3998	1208
384	4008	1197
385	4019	1187
386	4031	1177
387	4041	1166
388	4052	1156
389	4064	1146
390	4075	1136
391	4085	1125
392	4095	1114
393	4108	1105
394	4118	1094
395	4128	1084
396	4138	1073
397	4149	1063
398	4158	1052
399	4167	1041
400	4178	1031
401	4188	1020
402	4197	1010
403	4205	999
404	4214	988
405	4225	978
406	4235	967
407	4245	957
408	4255	946
409	4265	936
410	4275	925
411	4284	915
412	4294	904
413	4305	894
414	4316	884
415	4325	873
416	4335	862
417	4345	852
418	4354	841
419	4364	831
420	4374	820
421	4383	810
422	4395	800
423	4405	789
424	4416	779
425	4425	768
426	4435	758
427	4444	747
428	4453	737
429	4463	726
430	4473	716
431	4483	705
432	4493	695
433	4502	684
434	4512	674
435	4521	663
436	4530	653
437	4539	642
438	4549	632
439	4559	621
440	4570	611
441	4580	601
442	4590	590
443	4602	580
444	4613	570
445	4623	559
446	4634	549
447	4645	539
448	4657	529
449	4668	518
450	4679	508
451	4689	497
452	4699	487
453	4709	477
454	4719	466
455	4730	456
456	4741	446
457	4752	435
458	4762	425
459	4772	414
460	4783	404
461	4794	394
462	4806	384
463	4816	373
464	4827	363
465	4838	353
466	4849	342
467	4860	332
468	4872	322
469	4883	311
470	4896	301
471	4909	291
472	4920	280
473	4931	270
474	4942	260
475	4952	249
476	4962	239
477	4974	228
478	4985	218
479	4995	208
480	5006	197
481	5016	187
482	5025	176
